START PCMV Test
FW>
Return to idle mode
R:fua=0,lba=(0x00ff57fe,0x20)
R:fua=0,lba=(0x00e54f82,0x40)
R:fua=0,lba=(0x00ff581e,0x20)
R:fua=0,lba=(0x00e54be2,0x40)
R:fua=0,lba=(0x014a5640,0x20)
R:fua=0,lba=(0x00ff5702,0x40)
R:fua=0,lba=(0x00ff5772,0x40)
R:fua=0,lba=(0x00e55112,0x40)
R:fua=0,lba=(0x00ff57b2,0x10)
R:fua=0,lba=(0x00e55182,0x40)
R:fua=0,lba=(0x00e3675a,0x40)
R:fua=0,lba=(0x00ff57c2,0x2)
R:fua=0,lba=(0x00b26c6a,0x10)
R:fua=0,lba=(0x00721110,0x8)
R:fua=0,lba=(0x00ff57db,0x1)
R:fua=0,lba=(0x00e55152,0x30)
R:fua=0,lba=(0x00650fa0,0x40)
R:fua=0,lba=(0x00ff57dc,0x2)
R:fua=0,lba=(0x00e550d2,0x40)
R:fua=0,lba=(0x00650fe0,0x40)
R:fua=0,lba=(0x00ff57c4,0x17)
R:fua=0,lba=(0x00651020,0x80)
R:fua=0,lba=(0x0072c290,0x8)
R:fua=0,lba=(0x006510a0,0x1e)
R:fua=0,lba=(0x00ff53d2,0x40)
R:fua=0,lba=(0x0115d158,0x80)
R:fua=0,lba=(0x00ff5392,0x40)
R:fua=0,lba=(0x00e66fea,0x3a)
R:fua=0,lba=(0x00b90ea0,0x14)
R:fua=0,lba=(0x00e6462a,0x40)
R:fua=0,lba=(0x00ff52e2,0x40)
R:fua=0,lba=(0x00eaad1a,0x8)
R:fua=0,lba=(0x00e67024,0x17)
R:fua=0,lba=(0x00ff529a,0x40)
R:fua=0,lba=(0x00e67051,0x1)
R:fua=0,lba=(0x00ff5242,0x8)
R:fua=0,lba=(0x00e67052,0x2)
R:fua=0,lba=(0x00ff5352,0x40)
R:fua=0,lba=(0x00e6703b,0x16)
R:fua=0,lba=(0x00e66a6a,0x40)
R:fua=0,lba=(0x00e66a2a,0x40)
R:fua=0,lba=(0x01142c90,0x40)
R:fua=0,lba=(0x00e649da,0x40)
R:fua=0,lba=(0x0113b3e0,0x40)
R:fua=0,lba=(0x00e645ea,0x40)
R:fua=0,lba=(0x00e6474a,0x40)
R:fua=0,lba=(0x01141010,0x40)
W:fua=0,lba=(0x001600a0,0x8)
R:fua=0,lba=(0x00e64792,0x40)
R:fua=0,lba=(0x00ff528a,0x10)
R:fua=0,lba=(0x00e6658a,0x40)
R:fua=0,lba=(0x0113b468,0x20)
R:fua=0,lba=(0x00e646ea,0x40)
R:fua=0,lba=(0x011410f8,0x40)
R:fua=0,lba=(0x00dae1c0,0x10)
R:fua=0,lba=(0x00d99948,0x30)
R:fua=0,lba=(0x00e667b2,0x40)
R:fua=0,lba=(0x0113b618,0x40)
R:fua=0,lba=(0x00d99980,0x3b)
R:fua=0,lba=(0x011407d8,0x20)
R:fua=0,lba=(0x00e6484a,0x40)
R:fua=0,lba=(0x011413f8,0x40)
R:fua=0,lba=(0x0110d5a0,0x10)
R:fua=0,lba=(0x00726d88,0x8)
R:fua=0,lba=(0x00e66932,0x40)
R:fua=0,lba=(0x01140308,0x40)
R:fua=0,lba=(0x00133410,0x8)
R:fua=0,lba=(0x014a5540,0xc)
R:fua=0,lba=(0x01109480,0x10)
R:fua=0,lba=(0x00e6488a,0x40)
R:fua=0,lba=(0x01140300,0x8)
R:fua=0,lba=(0x011402c8,0x40)
R:fua=0,lba=(0x01140300,0x8)
R:fua=0,lba=(0x01140300,0x8)
R:fua=0,lba=(0x00d99a50,0x40)
R:fua=0,lba=(0x00e65baa,0x40)
R:fua=0,lba=(0x01109360,0x10)
R:fua=0,lba=(0x0113b9b8,0x40)
R:fua=0,lba=(0x00e64672,0x40)
R:fua=0,lba=(0x01109270,0x10)
R:fua=0,lba=(0x011417a8,0x40)
R:fua=0,lba=(0x00d99a18,0x38)
R:fua=0,lba=(0x00e6472a,0x18)
R:fua=0,lba=(0x011097f0,0x10)
R:fua=0,lba=(0x011417a0,0x8)
R:fua=0,lba=(0x01141768,0x40)
R:fua=0,lba=(0x011417a0,0x8)
R:fua=0,lba=(0x011417a0,0x8)
R:fua=0,lba=(0x00650850,0x14)
R:fua=0,lba=(0x00e663a2,0x40)
R:fua=0,lba=(0x01142040,0x40)
R:fua=0,lba=(0x00e65b6a,0x40)
R:fua=0,lba=(0x01142000,0x40)
R:fua=0,lba=(0x00e65b1a,0x40)
R:fua=0,lba=(0x01142038,0x8)
R:fua=0,lba=(0x00b8f878,0x7)
R:fua=0,lba=(0x00cb6fd8,0x40)
R:fua=0,lba=(0x01142038,0x8)
R:fua=0,lba=(0x01142038,0x8)
R:fua=0,lba=(0x00e65ada,0x40)
R:fua=0,lba=(0x00e54fda,0x40)
W:fua=0,lba=(0x00746b78,0x8)
W:fua=0,lba=(0x014992c8,0x18)
W:fua=0,lba=(0x0070e7f0,0x58)
R:fua=0,lba=(0x00e54fca,0x10)
W:fua=0,lba=(0x006f1258,0x10)
R:fua=0,lba=(0x00e54bca,0x10)
F:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x00e592ca,0x40)
R:fua=0,lba=(0x00c34188,0x8)
R:fua=0,lba=(0x00727cb0,0x8)
R:fua=0,lba=(0x00c21210,0x6)
R:fua=0,lba=(0x00e5932a,0x40)
R:fua=0,lba=(0x014ab468,0x40)
R:fua=0,lba=(0x00e5919a,0x10)
R:fua=0,lba=(0x01464830,0x3b)
R:fua=0,lba=(0x00e64902,0x40)
R:fua=0,lba=(0x014ab4c8,0x30)
R:fua=0,lba=(0x01464820,0x10)
R:fua=0,lba=(0x00e648ca,0x38)
R:fua=0,lba=(0x014ab4a8,0x20)
R:fua=0,lba=(0x00e645d2,0x18)
R:fua=0,lba=(0x00f68f62,0x40)
R:fua=0,lba=(0x00e64b32,0x40)
R:fua=0,lba=(0x00726ff8,0x8)
R:fua=0,lba=(0x00e64ce2,0x40)
R:fua=0,lba=(0x00721348,0x8)
R:fua=0,lba=(0x010f5de0,0x10)
R:fua=0,lba=(0x00e64f42,0x40)
